id,keyword,description
1,Afterlife,"Visions of, access to, as an influence on conduct/morals/ethics, immortality, resurrection, salvation, traditional teachings about, death, death-as-the-end, absence of"
2,Apocalypse,Depictions of the end of the world and religiously tinged accounts of destruction.
3,Arts,"Arts as forms of religious practice; arts as substitute for religion, imagination as conduit of religion"
4,Belief,"Belief, faith, conviction, extremism, dogmatism, uncertainty, scepticism, doubt, crisis of faith."
5,Body,As a conduit for experiencing religion/ the world; sensation
6,Community,"Ways of living together, new forms of relationship, social organisations, utopias, cults; gift; hospitality"
7,Critique,"Internal modes of religious critique: dissent, reform, anti-clericalism; secular critique of religion; religious critique of secular; religion as politics"
8,Emotion,Emotions generated by religious practice; emotions understood or interpreted in religious terms; emotions causing religious problems; feelings
9,Enchantment,"Non-materialistic worldviews; return to religion; re-enchantment, disenchantment, immanent frame"
10,Ethics,Religion guiding and shaping conduct; understandings of value; truth; morals and moralism; doctrines and principles
11,Experience,"Religious experiences, including conversion, crisis/loss of faith, ecstasy, transformation, revelation"
12,Gods & Spirits,"Visions of; prayers to; influences on action in this world; rites and actions undertaken in service to/ worship of/ in response to; devils, ghosts, ghouls, spectres, jinn"
13,Healing,As aim/ consequence of religious practice
14,Holy People,"Ascetics, guides, gurus, healers, martyrs, ministers, monks, mystics, nuns, priests, prophets, saints, shamans, visionaries, witches"
15,Ideas,"Debates, doctrines, dogmas, philosophy of religion, theology, truth, values"
16,Image,"Icons as objections of devotions; display in the religious buildings/sacred spaces, the home, and elsewhere; iconoclasm"
17,Imagination,Imagination as conduit to transcendence; humankind as creator
18,Institutions,"Authority, customs, hierarchy, history, structure, tradition"
19,Nature,As a conduit to transcendence; engagement with as a form of religious practice; religious interpretations of nature
20,Omens & Visions,"Events, interpretations/misinterpretations of events/visions, prophesy, signs, symbols, visions from God/spirits"
21,Performance,"Of rituals; failure of rituals, artistic performance as conduit of/to transcendence, expectations, hypocrisy"
22,Place,"Altars in religious buildings/homes, churches, holy places, pilgrimage, synagogues, temples"
23,Psyche,"Ennui, internalisation, psychology, mental illness, the mind"
24,Purity,"Cleansing, preparation for religious ritual; eating and preparation of food, attitudes to sexuality, sacrifice and ritual"
25,Ritual,"Birth, death, coming of age, worship"
26,Sacred Texts,"Books, liturgies, prayers, scriptures, sermons, spells"
27,Sacrifice,"Asceticism, martyrdom, violence, worship"
28,Sexuality,"Conduit to transcendence, as form of religious practice, control/ restriction of"
29,Spirituality,"Non-material worldviews, practices, mysticism, prayers, alternative lifestyles, retreat, spiritual-but-not-religious, spiritual traditions"
30,Supernatural,"Gothic, uncanny, ghosts, monsters, spiritualism, seance"
31,Transcendence,"Values and places beyond/ outside the material world, experience of non-material world, awe, sublime"
32,Thing,Objects in spiritual/religious practice; objects as conduits to transcendence/supernatural; objects connected to special places
